Video Title,Video ID,User,Comment,Published,SentimentScore,PositiveWords,NegativeWords,AgreeableWords,NeutralRaceWords,WhiteSlurWords,BlackSlurWords,HispanicSlurWords,GeneralSlurs
cosby show - one of the funniest moments,jJPudiBap4U,William Lee,llove love and love   ,2014-06-22,0.5,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MelatoninShoppen,Bill Cosby rapes white women   ,2014-11-21,0,0,0,0,1,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Wouhib Terefe, ,2014-05-28,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,logerbad19,Its funny where he explained about cell physiology in season 7 episode 2  sooo funny      ,2014-03-03,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,kettenfett,what        ,2014-10-20,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,oBseSsIoNPC,They had the Cosby show in Germany also. I must admit  his voice in German  was pretty darn good also. Much deeper and just as funny. Probably one of  the best shows where ever it aired    ,2013-11-27,2.25,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Icecube88,That nigger is guilty.   ,2014-11-25,-0.75,0,1,0,0,0,1,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Miguel Salas,Classic   ,2014-06-28,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,winrx,Betcha he had made a move on Lisa Bonet back then and would explain their  chilly relationship   the truth will eventually come out....   ,2014-12-13,0.875,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,moho523,Anyone who thinks that cosby is funny  is mentally handicapped.    ,2014-11-19,-0.125,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,SpartanfighterX10,  1 56 Dr. Cosby has a seizure.   ,2014-05-30,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Dan Gimberg,he looks alot in the camera   ,2014-06-26,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,AlphaOne2009,Really    ,2014-11-22,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,sufian bear,Funny     ,2014-06-06,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,James Lyons,https   www.youtube.com watch v jJPudiBap4U LMFAO   ,2015-02-11,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,JHATDRUMMER1976,and the car said WHAT      ,2013-12-02,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,æù_æù_è±ê,                                                                                                  .   ,2014-03-25,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MrGrevy,Every person in this episode...was raped.   ,2014-12-15,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Steve Knudsen,The Cosby Show   great series   seen many re runs in Denmark.   ,2014-01-29,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Matt Johnson, ,2013-11-07,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Miss Melony, ,2013-09-01,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Deavster 489,try to watch the whole video without even laughing or grinning   ,2013-12-13,-0.375,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Chelsea French,Love him sooooo much    Lmao    ,2013-11-26,0.5,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Hamad Sultan AKA Frankford,Dat face do   ,2013-11-25,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,ricardo luna butler,the great american civiL war hero dr biLL cosby....keep on truckin  biLL  cosby show   one of the funniest moments   ,2014-01-11,1.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Warren Myers,I miss The Cosby Show   ,2013-06-11,-0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Anthony Ramirez,HAHAHAHAHA      ,2014-04-20,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Prophet Mohammad The Terrorist,This .... is funny  was funny  man  I am glad I was born past this    ,2014-02-25,-0.875,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Koketso Hendrick Mahlangu, ,2013-07-04,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Dragalge,Lol at times it s hard to tell if this man is a genius or completely  insane. I m thinking both  D,2013-04-26,0.125,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,micglou,Well... some people are born without a sense of humor.,2013-06-18,0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Flanking Kavu,Lmao  OH you wanna go backwards ,2012-11-17,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Jonathan Miller,you have to be a good actor in order to hold yourself together  when you  see Bill go off on a improv scene like this    ,2011-10-10,0,0,0,0,0,0,0,0,0
